trip_id,duration,start_date,start_id,end_date,weekday,end_id,bike_id,type
913335,472,8/31/2015 19:47,76,8/31/2015 19:55,1,69,287,Subscriber
913329,509,8/31/2015 19:42,75,8/31/2015 19:51,1,72,317,Subscriber
913326,905,8/31/2015 19:42,28,8/31/2015 19:57,1,33,92,Subscriber
913324,375,8/31/2015 19:41,69,8/31/2015 19:47,1,64,558,Subscriber
913322,782,8/31/2015 19:41,59,8/31/2015 19:54,1,49,498,Subscriber
913321,191,8/31/2015 19:40,74,8/31/2015 19:43,1,75,462,Subscriber
913320,792,8/31/2015 19:39,76,8/31/2015 19:53,1,61,437,Subscriber
913318,471,8/31/2015 19:37,51,8/31/2015 19:45,1,73,482,Subscriber
913317,441,8/31/2015 19:34,74,8/31/2015 19:41,1,60,355,Subscriber
913316,300,8/31/2015 19:34,69,8/31/2015 19:39,1,65,368,Subscriber
913315,518,8/31/2015 19:33,74,8/31/2015 19:42,1,61,463,Subscriber
913314,340,8/31/2015 19:33,64,8/31/2015 19:39,1,74,560,Subscriber
913313,387,8/31/2015 19:33,77,8/31/2015 19:39,1,39,423,Subscriber
913311,144,8/31/2015 19:31,63,8/31/2015 19:33,1,77,282,Subscriber
913309,344,8/31/2015 19:30,61,8/31/2015 19:36,1,63,501,Subscriber
913308,185,8/31/2015 19:30,69,8/31/2015 19:33,1,61,541,Subscriber
913307,811,8/31/2015 19:30,74,8/31/2015 19:43,1,70,548,Subscriber
913306,625,8/31/2015 19:29,64,8/31/2015 19:39,1,58,492,Subscriber
913305,306,8/31/2015 19:27,42,8/31/2015 19:32,1,55,687,Subscriber
913304,206,8/31/2015 19:27,48,8/31/2015 19:30,1,74,355,Subscriber
913303,296,8/31/2015 19:27,64,8/31/2015 19:32,1,49,672,Subscriber
913301,1049,8/31/2015 19:25,77,8/31/2015 19:43,1,66,608,Customer
913299,1074,8/31/2015 19:23,67,8/31/2015 19:41,1,60,434,Customer
913298,434,8/31/2015 19:23,61,8/31/2015 19:30,1,77,505,Subscriber
913297,501,8/31/2015 19:21,61,8/31/2015 19:29,1,49,607,Subscriber
913296,765,8/31/2015 19:20,63,8/31/2015 19:33,1,65,564,Subscriber
913295,357,8/31/2015 19:19,77,8/31/2015 19:25,1,71,388,Subscriber
913294,213,8/31/2015 19:19,64,8/31/2015 19:23,1,63,193,Subscriber
913293,354,8/31/2015 19:19,42,8/31/2015 19:25,1,60,502,Subscriber
913292,448,8/31/2015 19:19,77,8/31/2015 19:26,1,54,524,Subscriber
913291,390,8/31/2015 19:18,42,8/31/2015 19:25,1,60,470,Subscriber
